time,stability,delta,alert
0,100.0,0.0,Normal
1,99.99964604556442,-0.000353954435581727,Normal
2,99.99929209112882,-0.00035395443559593787,Normal
3,99.99893813669324,-0.000353954435581727,Normal
4,99.99858418225764,-0.00035395443559593787,Normal
5,99.99787627338648,-0.000707908871163454,Normal
6,99.9971683645153,-0.0007079088711776649,Normal
7,99.99646045564414,-0.000707908871163454,Normal
8,99.99575254677295,-0.0007079088711918757,Normal
9,99.99504463790177,-0.0007079088711776649,Normal
10,99.9943367290306,-0.000707908871163454,Normal
11,99.99362882015943,-0.0007079088711776649,Normal
12,99.99292091128825,-0.0007079088711776649,Normal
13,99.99221300241709,-0.000707908871163454,Normal
14,99.99150509354591,-0.0007079088711776649,Normal
15,99.99079718467473,-0.0007079088711776649,Normal
16,99.99008927580357,-0.000707908871163454,Normal
17,99.98938136693239,-0.0007079088711776649,Normal
18,99.9886734580612,-0.0007079088711918757,Normal
19,99.98796554919004,-0.000707908871163454,Normal
20,99.98725764031886,-0.0007079088711776649,Normal
21,99.9865497314477,-0.000707908871163454,Normal
22,99.98584182257652,-0.0007079088711776649,Normal
23,99.98513391370534,-0.0007079088711776649,Normal
24,99.98442600483416,-0.0007079088711776649,Normal
25,99.98371809596298,-0.0007079088711776649,Normal
26,99.98301018709182,-0.000707908871163454,Normal
27,99.98230227822064,-0.0007079088711776649,Normal
28,99.98159436934947,-0.0007079088711776649,Normal
29,99.98088646047829,-0.0007079088711776649,Normal
30,99.98017855160712,-0.000707908871163454,Normal
31,99.97947064273595,-0.0007079088711776649,Normal
32,99.97876273386478,-0.000707908871163454,Normal
33,99.9780548249936,-0.0007079088711776649,Normal
34,99.97734691612241,-0.0007079088711918757,Normal
35,99.97663900725125,-0.000707908871163454,Normal
36,99.97593109838007,-0.0007079088711776649,Normal
37,99.97522318950891,-0.000707908871163454,Normal
38,99.97451528063773,-0.0007079088711776649,Normal
39,99.97380737176657,-0.000707908871163454,Normal
40,99.97309946289538,-0.0007079088711918757,Normal
41,99.9723915540242,-0.0007079088711776649,Normal
42,99.97168364515304,-0.000707908871163454,Normal
43,99.97097573628186,-0.0007079088711776649,Normal
44,99.97026782741068,-0.0007079088711776649,Normal
45,99.96955991853952,-0.000707908871163454,Normal
46,99.96885200966834,-0.0007079088711776649,Normal
47,99.96814410079716,-0.0007079088711776649,Normal
48,99.967436191926,-0.000707908871163454,Normal
49,99.96672828305482,-0.0007079088711776649,Normal
50,99.96602037418363,-0.0007079088711918757,Normal
51,99.96531246531246,-0.000707908871163454,Normal
52,99.96460455644129,-0.0007079088711776649,Normal
53,99.96389664757012,-0.000707908871163454,Normal
54,99.96318873869895,-0.0007079088711776649,Normal
55,99.96248082982777,-0.0007079088711776649,Normal
56,99.96177292095659,-0.0007079088711776649,Normal
57,99.96106501208541,-0.0007079088711776649,Normal
58,99.96035710321425,-0.000707908871163454,Normal
59,99.95964919434307,-0.0007079088711776649,Normal
60,99.95894128547191,-0.000707908871163454,Normal
61,99.95823337660072,-0.0007079088711918757,Normal
62,99.95752546772954,-0.0007079088711776649,Normal
63,99.95681755885838,-0.000707908871163454,Normal
64,99.9561096499872,-0.0007079088711776649,Normal
65,99.95540174111602,-0.0007079088711776649,Normal
66,99.95469383224486,-0.000707908871163454,Normal
67,99.95398592337368,-0.0007079088711776649,Normal
68,99.9532780145025,-0.0007079088711776649,Normal
69,99.95257010563134,-0.000707908871163454,Normal
70,99.95186219676016,-0.0007079088711776649,Normal
71,99.95115428788897,-0.0007079088711918757,Normal
72,99.9504463790178,-0.000707908871163454,Normal
73,99.94973847014663,-0.0007079088711776649,Normal
74,99.94903056127546,-0.000707908871163454,Normal
75,99.94832265240429,-0.0007079088711776649,Normal
76,99.94761474353311,-0.0007079088711776649,Normal
77,99.94690683466193,-0.0007079088711776649,Normal
78,99.94619892579075,-0.0007079088711776649,Normal
79,99.94549101691959,-0.000707908871163454,Normal
80,99.94478310804841,-0.0007079088711776649,Normal
81,99.94407519917723,-0.0007079088711776649,Normal
82,99.94336729030606,-0.0007079088711776649,Normal
83,99.9426593814349,-0.000707908871163454,Normal
84,99.94195147256372,-0.0007079088711776649,Normal
85,99.94124356369255,-0.000707908871163454,Normal
86,99.94053565482137,-0.0007079088711776649,Normal
87,99.93982774595018,-0.0007079088711918757,Normal
88,99.93911983707902,-0.000707908871163454,Normal
89,99.93841192820784,-0.0007079088711776649,Normal
90,99.93770401933668,-0.000707908871163454,Normal
91,99.9369961104655,-0.0007079088711776649,Normal
92,99.93628820159434,-0.000707908871163454,Normal
93,99.93558029272315,-0.0007079088711918757,Normal
94,99.93487238385197,-0.0007079088711776649,Normal
95,99.9341644749808,-0.000707908871163454,Normal
96,99.93345656610963,-0.0007079088711776649,Normal
97,99.93274865723845,-0.0007079088711776649,Normal
98,99.93204074836729,-0.000707908871163454,Normal
99,99.93133283949611,-0.0007079088711776649,Normal
100,99.93062493062493,-0.0007079088711776649,Normal
101,99.92991702175377,-0.000707908871163454,Normal
102,99.92920911288259,-0.0007079088711776649,Normal
103,99.9285012040114,-0.0007079088711918757,Normal
104,99.92779329514023,-0.000707908871163454,Normal
105,99.92708538626906,-0.0007079088711776649,Normal
106,99.92637747739789,-0.000707908871163454,Normal
107,99.92566956852671,-0.0007079088711776649,Normal
108,99.92496165965554,-0.0007079088711776649,Normal
109,99.92425375078436,-0.0007079088711776649,Normal
110,99.92354584191318,-0.0007079088711776649,Normal
111,99.92283793304202,-0.000707908871163454,Normal
112,99.92213002417084,-0.0007079088711776649,Normal
113,99.92142211529966,-0.0007079088711776649,Normal
114,99.92071420642849,-0.0007079088711776649,Normal
115,99.92000629755732,-0.000707908871163454,Normal
116,99.91929838868614,-0.0007079088711776649,Normal
117,99.91859047981498,-0.000707908871163454,Normal
118,99.91788257094379,-0.0007079088711918757,Normal
119,99.91717466207263,-0.000707908871163454,Normal
120,99.91646675320145,-0.0007079088711776649,Normal
121,99.91575884433027,-0.0007079088711776649,Normal
122,99.9150509354591,-0.000707908871163454,Normal
123,99.91434302658793,-0.0007079088711776649,Normal
124,99.91363511771674,-0.0007079088711918757,Normal
125,99.91292720884557,-0.000707908871163454,Normal
126,99.9122192999744,-0.0007079088711776649,Normal
127,99.91151139110323,-0.000707908871163454,Normal
128,99.91080348223205,-0.0007079088711776649,Normal
129,99.91009557336088,-0.0007079088711776649,Normal
130,99.9093876644897,-0.0007079088711776649,Normal
131,99.90867975561852,-0.0007079088711776649,Normal
132,99.90797184674736,-0.000707908871163454,Normal
133,99.90726393787618,-0.0007079088711776649,Normal
134,99.906556029005,-0.0007079088711776649,Normal
135,99.90584812013384,-0.000707908871163454,Normal
136,99.90514021126266,-0.0007079088711776649,Normal
137,99.90443230239148,-0.0007079088711776649,Normal
138,99.90372439352032,-0.000707908871163454,Normal
139,99.90301648464914,-0.0007079088711776649,Normal
140,99.90230857577797,-0.0007079088711776649,Normal
141,99.90160066690679,-0.0007079088711776649,Normal
142,99.90089275803561,-0.0007079088711776649,Normal
143,99.90018484916445,-0.000707908871163454,Normal
144,99.89947694029327,-0.0007079088711776649,Normal
145,99.89876903142209,-0.0007079088711776649,Normal
146,99.89806112255091,-0.0007079088711776649,Normal
147,99.89735321367975,-0.000707908871163454,Normal
148,99.89664530480857,-0.0007079088711776649,Normal
149,99.89593739593741,-0.000707908871163454,Normal
150,99.89522948706622,-0.0007079088711918757,Normal
151,99.89452157819505,-0.000707908871163454,Normal
152,99.89381366932388,-0.0007079088711776649,Normal
153,99.8931057604527,-0.0007079088711776649,Normal
154,99.89239785158153,-0.000707908871163454,Normal
155,99.89168994271036,-0.0007079088711776649,Normal
156,99.89098203383917,-0.0007079088711918757,Normal
157,99.890274124968,-0.000707908871163454,Normal
158,99.88956621609682,-0.0007079088711776649,Normal
159,99.88885830722566,-0.000707908871163454,Normal
160,99.88815039835448,-0.0007079088711776649,Normal
161,99.8874424894833,-0.0007079088711776649,Normal
162,99.88673458061213,-0.0007079088711776649,Normal
163,99.88602667174095,-0.0007079088711776649,Normal
164,99.88531876286979,-0.000707908871163454,Normal
165,99.88461085399861,-0.0007079088711776649,Normal
166,99.88390294512743,-0.0007079088711776649,Normal
167,99.88319503625625,-0.0007079088711776649,Normal
168,99.88248712738508,-0.0007079088711776649,Normal
169,99.88177921851391,-0.000707908871163454,Normal
170,99.88107130964275,-0.000707908871163454,Normal
171,99.88036340077156,-0.0007079088711918757,Normal
172,99.8796554919004,-0.000707908871163454,Normal
173,99.8789475830292,-0.0007079088711918757,Normal
174,99.87823967415804,-0.000707908871163454,Normal
175,99.87753176528686,-0.0007079088711776649,Normal
176,99.87682385641568,-0.0007079088711776649,Normal
177,99.87611594754452,-0.000707908871163454,Normal
178,99.87540803867334,-0.0007079088711776649,Normal
179,99.87470012980216,-0.0007079088711776649,Normal
180,99.873992220931,-0.000707908871163454,Normal
181,99.87328431205982,-0.0007079088711776649,Normal
182,99.87257640318865,-0.0007079088711776649,Normal
183,99.87186849431748,-0.000707908871163454,Normal
184,99.8711605854463,-0.0007079088711776649,Normal
185,99.87045267657513,-0.0007079088711776649,Normal
186,99.86974476770396,-0.000707908871163454,Normal
187,99.86903685883279,-0.0007079088711776649,Normal
188,99.8683289499616,-0.0007079088711918757,Normal
189,99.86762104109042,-0.0007079088711776649,Normal
190,99.86691313221925,-0.000707908871163454,Normal
191,99.86620522334809,-0.000707908871163454,Normal
192,99.86549731447691,-0.0007079088711776649,Normal
193,99.86478940560573,-0.0007079088711776649,Normal
194,99.86408149673456,-0.0007079088711776649,Normal
195,99.86337358786338,-0.0007079088711776649,Normal
196,99.8626656789922,-0.0007079088711776649,Normal
197,99.86195777012104,-0.000707908871163454,Normal
198,99.86124986124986,-0.0007079088711776649,Normal
199,99.86054195237868,-0.0007079088711776649,Normal
200,99.8598340435075,-0.0007079088711776649,Normal
201,99.85912613463634,-0.000707908871163454,Normal
202,99.85841822576518,-0.000707908871163454,Normal
203,99.85771031689399,-0.0007079088711918757,Normal
204,99.85700240802282,-0.000707908871163454,Normal
205,99.85629449915163,-0.0007079088711918757,Normal
206,99.85558659028047,-0.000707908871163454,Normal
207,99.85487868140929,-0.0007079088711776649,Normal
